CRP,idx_confirm,idx_ref
MG7500-028,1,OSM-n
MG7500-080,1,OSM-r
MG7500-090,1,OSM-n
MG7500-183,3,OSM-nr
MG7500-224,1,OSM-r
MG7500-242,1,OSM-n
MG7500-266,1,OSM-r
MG7501-042,1,OSM-n
MG7501-064,2,OSM-nr
MG7501-155,2,OSM-r
MG7502-452,1,OSM-n
MG7502-454,1,OSM-n
MG7502-488,1,OSM-n
MG7503-404,1,OSM-n
MG7504-364,2,OSM-nr
