CRP,idx_confirm,idx_ref
ZM5835-005,1,OSM-r
ZM6801-970,1,OSM-r
ZM6805-135,1,OSM-r
ZM6810-240,1,OSM-r
ZM6810-420,1,OSM-n
ZM6814-000,3,OSM-nr
ZM6814-110,1,OSM-r
ZM6814-160,1,OSM-r
ZM6815-030,1,OSM-r
ZM6816-000,1,OSM-r
ZM6816-490,1,OSM-r
ZM6823-060,4,OSM-r
ZM6823-130,1,OSM-r
ZM6823-160,2,OSM-r
ZM6824-270,1,OSM-r
ZM6833-300,1,OSM-r
ZM6856-060,2,OSM-r
