CRP,idx_confirm,idx_ref
PR6800-030,5,OSM-n
PR6800-050,1,OSM-n
PR6800-090,1,OSM-n
PR6800-140,1,OSM-n
PR6800-200,4,OSM-r
PR6800-235,1,OSM-r
PR6800-280,1,OSM-n
PR6800-320,2,OSM-r
PR6800-350,3,OSM-nr
PR6803-330,1,OSM-n
PR6804-190,1,OSM-n
PR6811-500,1,OSM-r
